ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
655,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,2208.19,
664,PT,Murphy-Hanrehan,Credit River Twp.,Shared surface,0.0,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,89.31,
666,PT,Gale Woods,Minnetrista,Gravel,12.0,Aggregate Hike,"Hike, Snowshoe, Cross-country Skate/Classic",False,,1433.16,8946.0
667,PT,Gale Woods,Minnetrista,Mowed,16.0,Unpaved Hike,,False,,425.61,8946.0
668,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Poplar Creek Trail,4661.42,
669,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Snowmobile,False,,2740.94,
671,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Snowmobile,False,,371.69,
672,PT,Gale Woods,Minnetrista,Mowed,16.0,Unpaved Hike,"Hike, Snowshoe, Cross-country Skate/Classic",False,,785.22,8946.0
673,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",,False,,507.79,
681,PT,The Landing,Shakopee,Concrete,12.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,209.24,48190.0
687,PT,Gale Woods,Minnetrista,Mowed,16.0,Unpaved Hike,,False,,998.04,8946.0
690,PT,Bryant,Eden Prairie,Gravel,10.0,"Unpaved Hike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,313.26,61496.0
694,PT,Bryant,Eden Prairie,Gravel,10.0,"Unpaved Hike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,62.4,61496.0
696,PT,Lake Rebecca,Greenfield,Mowed,12.0,,Snowmobile,False,,38.77,2850.0
697,PT,Bryant,Eden Prairie,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,56.19,61496.0
717,PT,Elm Creek,Champlin,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,23.71,22523.0
720,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Lakeside Trail,423.73,
724,PT,Murphy-Hanrehan,Burnsville,Mowed,14.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,,1491.83,64857.0
726,PT,Murphy-Hanrehan,Burnsville,Mowed,14.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,,1371.08,64857.0
733,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,1786.38,
734,PT,Silverwood,St. Anthony,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,40.54,10217.0
734,PT,Silverwood,St. Anthony,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,40.54,92.0
736,PT,Eagle,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,112.87,76546.0
739,RT,Mississippi Gateway,Brooklyn Park,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,Rush Creek Regional Trail,201.44,80619.0
741,PT,Baker,Medina,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,121.55,7102.0
742,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",Cross-country Skate/Classic,False,,1003.79,
743,PT,Elm Creek,Champlin,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,922.52,22523.0
751,PT,Murphy-Hanrehan,Credit River Twp.,Mowed,14.0,"Unpaved Hike, Horse, Dog (On-Leash)",Cross-country Skate/Classic,False,,446.09,
759,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,31.82,76546.0
766,PT,Lake Rebecca,Greenfield,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,985.4,2850.0
782,PT,Elm Creek,Dayton,Shared surface,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Snowmobile,False,,1329.48,11065.0
