ObjectID,TRPDClassification,Park,City,TrailSurface,Width_ft,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Shape_Length
3214,Regional Trail,Not In Park,Minnetonka,Gravel,12.0,"Aggregate Hike, Bike, Dog (On-Leash)","Aggregate Hike, Bike, Dog (On-Leash)",YES,Lake Minnetonka Regional Trail,857.230949378149
3215,Regional Trail,Not In Park,Minnetonka,Bituminous,10.0,"Aggregate Hike, Bike, Dog (On-Leash)","Aggregate Hike, Bike, Dog (On-Leash)",YES,Lake Minnetonka Regional Trail,65.4955200410985
3216,Regional Trail,Not In Park,Minnetonka,Tunnel,10.0,"Aggregate Hike, Bike, Dog (On-Leash)","Aggregate Hike, Bike, Dog (On-Leash)",YES,Lake Minnetonka Regional Trail,25.8697785203069
3217,Regional Trail,Not In Park,Minnetonka,Gravel,12.0,"Aggregate Hike, Bike, Dog (On-Leash)","Aggregate Hike, Bike, Dog (On-Leash)",YES,Lake Minnetonka Regional Trail,1201.47995441572
3219,Regional Trail,Not In Park,Brooklyn Park,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Rush Creek Regional Trail,1548.9485149841
3226,Regional Trail,Not In Park,Orono,Bridge,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Dakota Rail Regional Trail,24.6875865787913
3227,Regional Trail,Elm Creek,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",NO,Medicine Lake Regional Trail,1490.17365965677
3228,Regional Trail,Not In Park,Corcoran,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Lake Independence Regional Trail,251.882967899626
3229,Regional Trail,Not In Park,St. Louis Park,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,North Cedar Lake Regional Trail,10.8249315440001
3230,Regional Trail,Not In Park,Orono,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Dakota Rail Regional Trail,8.47979730133853
3231,Regional Trail,Not In Park,Shorewood,Crosswalk,0.0,"Aggregate Hike, Bike, Dog (On-Leash)","Aggregate Hike, Bike, Dog (On-Leash)",YES,Lake Minnetonka Regional Trail,15.4705297370581
3232,Regional Trail,Not In Park,Corcoran,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Lake Independence Regional Trail,6.01757643883214
3233,Regional Trail,Not In Park,Minnetonka,Gravel,12.0,"Aggregate Hike, Bike, Dog (On-Leash)","Aggregate Hike, Bike, Dog (On-Leash)",YES,Lake Minnetonka Regional Trail,1216.39677579086
3234,Regional Trail,Not In Park,Brooklyn Park,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Rush Creek Regional Trail,520.135931785491
3236,Regional Trail,Not In Park,Orono,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Lake Independence Regional Trail,175.074996745325
3237,Regional Trail,Not In Park,Brooklyn Park,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,11.4762145621361
3239,Regional Trail,Not In Park,Brooklyn Center,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Twin Lakes Regional Trail,6.32820676493256
3240,Regional Trail,Not In Park,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,74.376564513193
3241,Regional Trail,Not In Park,Plymouth,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Bassett Creek Regional Trail,10.8027081941763
3243,Regional Trail,Not In Park,Corcoran,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Lake Independence Regional Trail,5.31360039896869
3244,Regional Trail,Not In Park,Loretto,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Lake Independence Regional Trail,10.4933706255454
3245,Regional Trail,Not In Park,Plymouth,Bituminous,12.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Luce Line Regional Trail,81.8231392025636
3246,Regional Trail,Not In Park,Minnetonka Beach,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Dakota Rail Regional Trail,22.6993522016399
3248,Regional Trail,Not In Park,Corcoran,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Lake Independence Regional Trail,16.5956513277223
