ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft
59987,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,65.64
59988,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,29.44
59989,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,50.93
59992,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,26.3
59993,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,17.78
59995,PT,French,Plymouth,Concrete,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,313.35
59996,PT,French,Plymouth,Concrete,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,209.6
59997,PT,Spring Lake Park,Prior Lake,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,453.8
59998,PT,Elm Creek,Dayton,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",False,,264.87
59999,PT,Elm Creek,Dayton,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",False,,842.21
60001,PT,Elm Creek,Dayton,Woodchip,6.0,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Sumac Trail,547.14
60009,PT,Elm Creek,Dayton,Woodchip,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Oxbow Loop,97.22
60010,PT,Elm Creek,Dayton,Bridge,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Oxbow Loop,38.06
60011,PT,Elm Creek,Dayton,Dirt/Minimum Maintenance,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Oxbow Loop,809.42
60012,PT,Elm Creek,Dayton,Bridge,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Oxbow Loop,34.56
60013,PT,Elm Creek,Dayton,Dirt/Minimum Maintenance,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Oxbow Loop,141.46
60014,PT,Elm Creek,Dayton,Dirt/Minimum Maintenance,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Heron Trail,374.6
60015,PT,Elm Creek,Dayton,Woodchip,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Sumac Trail,248.28
60016,PT,Elm Creek,Dayton,Woodchip,,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,Heron Trail,632.59
60017,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Advanced Technical Features",False,,37.85
60018,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,47.45
60019,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,124.92
60020,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,39.28
60021,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Bale Out,715.59
60022,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",False,Paradise,8610.45
60023,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",False,Paradise,3260.4
60024,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,Thresh It,863.85
60025,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,132.88
60026,PT,Carver,Laketown Twp.,Bridge,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,27.75
60027,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,6.88
60028,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,6.12
