ObjectID,TRPDClassification,Park,City,County,TrailSurface,Width_ft,DataGrade,DataSource,GlobalID,created_date,last_edited_date,MapWebWinter,MapWebSummer,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Name_OfficialWinter_Primary,Shape_Length
1275,Park Trail,Cleary,Credit River Twp.,Scott,Gravel,12,Low Mapping,GPS Collection,{C3FC5161-E5E8-4A4D-9776-362A40A9D651},,2024/08/16 17:34:42+00,YES,NO,,"Cross-country Skate/Classic, Lit",,,Lakeside Trail,111.043299538401
1277,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{AF008452-27AC-4515-A201-D2D8886F2D68},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,27.0188036064457
1278,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{91C0FBC6-FCDB-4452-8666-A133C8EE0C64},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,29.0927686288936
1279,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{F4873FED-C669-4D94-A436-E66632137276},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,122.778057997521
1280,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{661BC8BF-B1C9-43C4-8846-E631DCA1B4C3},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,108.312555230821
1281,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{9C4A949A-B5E9-42AB-8EB1-D53A1DCB98FB},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,9.61511825568484
1282,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{277CACD4-C374-4403-A30C-B5E4C30E0081},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,71.172429881276
1283,Park Trail,Cleary,Credit River Twp.,Scott,Bituminous,10,Low Mapping,GPS Collection,{6BAD9DF9-1995-4DEA-B270-BFA95A39911A},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,30.257049567005
1284,Park Trail,Cleary,Credit River Twp.,Scott,Bituminous,8,Low Mapping,GPS Collection,{EE054049-B68B-4A1F-93BD-C40B7862781A},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,24.6841774842899
1288,Park Trail,Elm Creek,Dayton,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{C4585FC6-8428-438C-80E3-1C5890BBA098},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",,,,514.531895459615
1289,Regional Trail,Elm Creek,Dayton,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{05CB9FF1-E6E4-4F74-AFB9-8931040E0F22},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",NO,Medicine Lake Regional Trail,Medicine Lake Regional Trail,109.283394447899
1290,Regional Trail,Elm Creek,Dayton,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{27A2598A-5479-48CA-BB40-40AB7ADA551A},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Medicine Lake Regional Trail,Medicine Lake Regional Trail,36.1585903647703
1291,Regional Trail,Elm Creek,Dayton,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{BEF57B2D-414A-4E35-94DD-392C35C9A3B2},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Mtn Bike",NO,Medicine Lake Regional Trail,Medicine Lake Regional Trail,1491.17109509542
1304,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{09715D6E-5F06-4727-B712-5308D2A22543},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,14.2823780955983
1309,Park Trail,Elm Creek,Dayton,Hennepin,Boardwalk,8,Low Mapping,GPS Collection,{FEEB949E-6A33-48A7-8F8D-53FE1156D3FB},,2024/08/16 17:34:53+00,YES,YES,Boardwalk,Boardwalk,,,,77.4183911599339
1317,Park Trail,Carver,Laketown Twp.,Carver,Gravel,12,Low Mapping,GPS Collection,{55F8D01D-44EA-45E4-8376-E69108147D9B},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (On-Leash)",,,,,141.479730603398
1318,Park Trail,Carver,Laketown Twp.,Carver,Gravel,8,Low Mapping,GPS Collection,{EB95DF6F-C566-4174-BFDE-3F745F3640BB},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (On-Leash)",,,,,144.822084187018
1319,Park Trail,Fish,Maple Grove,Hennepin,Mowed,12,Low Mapping,GPS Collection,{5CBA544D-5682-4B89-B8EF-236DD52CBCFD},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (On-Leash)",,,,,194.202396438914
1320,Park Trail,Crow-Hassan,Rogers,Hennepin,Mowed,12,Low Mapping,GPS Collection,{2AF501BC-E509-46E9-A0B4-E98922125DE8},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Horse, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Horse",,,,104.837937652543
